Feature,Gain
VKORC1_GG,0.1515581
VKORC1_AA,0.13241836
CYP2C9_*1/*1,0.09114342
Weight,0.0846736
Smoker_No,0.07151709
Gender_Male,0.06762481
Gender_Female,0.05196251
Smoker_Yes,0.051683288
Amiodarone_No,0.047504757
Amiodarone_Yes,0.03704945
CYP2C9_*1/*3,0.03623862
VKORC1_GA,0.03276778
BMI,0.028886441
Age,0.021032447
CYP4F2_CC,0.018466411
CYP4F2_TT,0.017556015
Aspirin_No,0.015345269
Aspirin_Yes,0.009163699
CYP2C9_*1/*2,0.008318361
Target_INR,0.007987525
Renal_Function,0.007287932
Height,0.005276154
CYP4F2_CT,0.0045378907
