feature,mean_abs_shap
VKORC1_A/A,4.279408645907688
VKORC1_G/G,3.1458061569015143
Weight (kg),3.0718809790375095
Age_Num,2.9143138236197
CYP2C9_*1/*1,1.8389625886096759
Height (cm),0.9990090765772388
Amiodarone,0.5904340760237629
CYP2C9_*1/*3,0.3032014429976929
VKORC1_Unknown,0.2730997855784082
Race_Group_White,0.2505433686974223
Enzyme_Inducer,0.22461544289593582
Race_Group_Other,0.16732557960036198
CYP2C9_*1/*2,0.16436991092725645
Race_Group_Black,0.08375896402386136
CYP2C9_*2/*3,0.07083191952961497
VKORC1_A/G,0.06383635310342074
CYP2C9_Other/Unknown,0.03184536301698533
CYP2C9_*2/*2,0.007615714859915893
Race_Group_Unknown,0.0036691792411263856
Race_Group_Asian,0.0
CYP2C9_*3/*3,0.0
